sep=;
Series;Time;Value
Average mTimeConsum;2018-03-27T14:40:00+08:00;null
Average mTimeConsum;2018-03-27T15:00:00+08:00;null
Average mTimeConsum;2018-03-27T15:20:00+08:00;null
Average mTimeConsum;2018-03-27T15:40:00+08:00;null
Average mTimeConsum;2018-03-27T16:00:00+08:00;null
Average mTimeConsum;2018-03-27T16:20:00+08:00;null
Average mTimeConsum;2018-03-27T16:40:00+08:00;null
Average mTimeConsum;2018-03-27T17:00:00+08:00;null
Average mTimeConsum;2018-03-27T17:20:00+08:00;null
Average mTimeConsum;2018-03-27T17:40:00+08:00;null
Average mTimeConsum;2018-03-27T18:00:00+08:00;null
Average mTimeConsum;2018-03-27T18:20:00+08:00;null
Average mTimeConsum;2018-03-27T18:40:00+08:00;null
Average mTimeConsum;2018-03-27T19:00:00+08:00;null
Average mTimeConsum;2018-03-27T19:20:00+08:00;null
Average mTimeConsum;2018-03-27T19:40:00+08:00;null
Average mTimeConsum;2018-03-27T20:00:00+08:00;null
Average mTimeConsum;2018-03-27T20:20:00+08:00;null
Average mTimeConsum;2018-03-27T20:40:00+08:00;null
Average mTimeConsum;2018-03-27T21:00:00+08:00;null
Average mTimeConsum;2018-03-27T21:20:00+08:00;null
Average mTimeConsum;2018-03-27T21:40:00+08:00;null
Average mTimeConsum;2018-03-27T22:00:00+08:00;null
Average mTimeConsum;2018-03-27T22:20:00+08:00;null
Average mTimeConsum;2018-03-27T22:40:00+08:00;null
Average mTimeConsum;2018-03-27T23:00:00+08:00;null
Average mTimeConsum;2018-03-27T23:20:00+08:00;null
Average mTimeConsum;2018-03-27T23:40:00+08:00;null
Average mTimeConsum;2018-03-28T00:00:00+08:00;null
Average mTimeConsum;2018-03-28T00:20:00+08:00;null
Average mTimeConsum;2018-03-28T00:40:00+08:00;null
Average mTimeConsum;2018-03-28T01:00:00+08:00;null
Average mTimeConsum;2018-03-28T01:20:00+08:00;null
Average mTimeConsum;2018-03-28T01:40:00+08:00;null
Average mTimeConsum;2018-03-28T02:00:00+08:00;null
Average mTimeConsum;2018-03-28T02:20:00+08:00;null
Average mTimeConsum;2018-03-28T02:40:00+08:00;null
Average mTimeConsum;2018-03-28T03:00:00+08:00;null
Average mTimeConsum;2018-03-28T03:20:00+08:00;null
Average mTimeConsum;2018-03-28T03:40:00+08:00;null
Average mTimeConsum;2018-03-28T04:00:00+08:00;null
Average mTimeConsum;2018-03-28T04:20:00+08:00;null
Average mTimeConsum;2018-03-28T04:40:00+08:00;null
Average mTimeConsum;2018-03-28T05:00:00+08:00;null
Average mTimeConsum;2018-03-28T05:20:00+08:00;null
Average mTimeConsum;2018-03-28T05:40:00+08:00;null
Average mTimeConsum;2018-03-28T06:00:00+08:00;null
Average mTimeConsum;2018-03-28T06:20:00+08:00;null
Average mTimeConsum;2018-03-28T06:40:00+08:00;null
Average mTimeConsum;2018-03-28T07:00:00+08:00;874
Average mTimeConsum;2018-03-28T07:20:00+08:00;null
Average mTimeConsum;2018-03-28T07:40:00+08:00;404.44444444444446
Average mTimeConsum;2018-03-28T08:00:00+08:00;422.35510204081635
Average mTimeConsum;2018-03-28T08:20:00+08:00;525.2558139534884
Average mTimeConsum;2018-03-28T08:40:00+08:00;490.07142857142856
Average mTimeConsum;2018-03-28T09:00:00+08:00;451.0883116883117
Average mTimeConsum;2018-03-28T09:20:00+08:00;402.07021791767556
Average mTimeConsum;2018-03-28T09:40:00+08:00;435.7659137577002
Average mTimeConsum;2018-03-28T10:00:00+08:00;424.1108490566038
Average mTimeConsum;2018-03-28T10:20:00+08:00;449.58047493403694
Average mTimeConsum;2018-03-28T10:40:00+08:00;474.88793103448273
Average mTimeConsum;2018-03-28T11:00:00+08:00;461.34598214285717
Average mTimeConsum;2018-03-28T11:20:00+08:00;408.74380165289256
Average mTimeConsum;2018-03-28T11:40:00+08:00;464.6061946902655
Average mTimeConsum;2018-03-28T12:00:00+08:00;420.23023255813956
Average mTimeConsum;2018-03-28T12:20:00+08:00;398.7243947858473
Average mTimeConsum;2018-03-28T12:40:00+08:00;476.2256728778468
Average mTimeConsum;2018-03-28T13:00:00+08:00;493.33720930232556
Average mTimeConsum;2018-03-28T13:20:00+08:00;417.16222760290555
Average mTimeConsum;2018-03-28T13:40:00+08:00;397.2542787286064
Average mTimeConsum;2018-03-28T14:00:00+08:00;428.0065934065934
Average mTimeConsum;2018-03-28T14:20:00+08:00;405.86436781609194
Average mTimeConsum;2018-03-28T14:40:00+08:00;394.41494845360825
Average mTimeConsum;2018-03-28T15:00:00+08:00;424.3400809716599
Average mTimeConsum;2018-03-28T15:20:00+08:00;464.35684647302907
Average mTimeConsum;2018-03-28T15:40:00+08:00;459.24087591240874
Average mTimeConsum;2018-03-28T16:00:00+08:00;472.8018867924528
Average mTimeConsum;2018-03-28T16:20:00+08:00;431.9239904988124
Average mTimeConsum;2018-03-28T16:40:00+08:00;395.4887640449438
Average mTimeConsum;2018-03-28T17:00:00+08:00;479.6832917705736
Average mTimeConsum;2018-03-28T17:20:00+08:00;532.5018181818182
Average mTimeConsum;2018-03-28T17:40:00+08:00;398.7287581699346
Average mTimeConsum;2018-03-28T18:00:00+08:00;515.8006756756756
Average mTimeConsum;2018-03-28T18:20:00+08:00;459.9696048632219
Average mTimeConsum;2018-03-28T18:40:00+08:00;464.73979591836735
Average mTimeConsum;2018-03-28T19:00:00+08:00;435.8662790697674
Average mTimeConsum;2018-03-28T19:20:00+08:00;403.0672514619883
Average mTimeConsum;2018-03-28T19:40:00+08:00;404.3619047619048
Average mTimeConsum;2018-03-28T20:00:00+08:00;373.54237288135596
Average mTimeConsum;2018-03-28T20:20:00+08:00;419.0131578947368
Average mTimeConsum;2018-03-28T20:40:00+08:00;422.5067385444744
Average mTimeConsum;2018-03-28T21:00:00+08:00;410.5041551246537
Average mTimeConsum;2018-03-28T21:20:00+08:00;439.8886639676113
